D1,D2,D3,D4,D5,PowerBall,Prob,NLL,Offset,jProb,jNLL,BoundedP,BoundedNLL,Winners,Jackpot,NLLbeta,Date,is_jackpot,inter_arrival,pD1,pD2,pD3,pD4,pD5,pPowerBall,running_burstiness
16.0,24.0,26.0,36.0,54.0,11.0,1.615625910395234e-09,20.243543394737763,253,7.402773266448247e-08,16.41882604821313,2.2493475542484145e-08,17.61004054567677,461111,No,20.0950364872962,2006-06-10,0,0,0.03879581619039429,0.036383044365062026,0.04276574445442939,0.04463171356316032,0.023165819196422955,0.02588627856127779,0.0
4.0,10.0,20.0,26.0,40.0,8.0,1.4586341913334476e-09,20.34576532445375,254,3.496618852605615e-08,17.168884284489096,2.486374666825794e-08,17.50985505150927,408945,No,20.828474480786042,2006-06-07,0,0,0.05177488215685684,0.031079317190150956,0.03383901928448862,0.02610241078715517,0.05031125712922236,0.020398218728168716,0.0
5.0,6.0,18.0,20.0,50.0,35.0,2.5250333872062735e-10,22.099596644644603,255,2.7102641998499547e-08,17.42363462309313,3.620141191298686e-08,17.134167715754106,380639,No,21.0735334954412,2006-06-03,0,0,0.05659668806715906,0.019006973858822447,0.02856763442592063,0.010539297912371872,0.04255136749241676,0.018321610553858947,0.0
10.0,20.0,22.0,43.0,49.0,3.0,1.9630371702422976e-09,20.04877298640482,256,1.0809025310363949e-07,16.04029928192016,1.9111589359523244e-08,17.772970913156072,343756,No,19.748820359386453,2006-05-31,0,0,0.06489281970539651,0.04457900699444933,0.03829445473990349,0.031459399951008334,0.04720097295423558,0.011933400371440452,0.0
6.0,23.0,27.0,41.0,47.0,19.0,7.361059691078536e-09,18.727061934803615,257,1.258356035556835e-07,15.888289515586067,1.3500676923940967e-08,18.120526010244976,325250,No,19.594338300245067,2006-05-27,0,0,0.06060837761516858,0.03899783802641332,0.04272629348647472,0.03695015815069055,0.054808884872159847,0.03599189079731963,0.0
2.0,3.0,12.0,47.0,51.0,10.0,1.0965047420363971e-10,22.933723316371406,258,3.528690714306226e-08,17.159753844271314,2.312906666814692e-07,15.279590620094849,287737,No,20.891038508395603,2006-05-24,0,0,0.040736578400239365,0.011538743326251521,0.01307048245928301,0.019701346415838625,0.03762569046637224,0.02407661613364039,0.0
2.0,9.0,23.0,44.0,45.0,38.0,1.0156216370481066e-09,20.7077649616301,259,1.4737597076871335e-07,15.730278891045511,2.3819051430095848e-08,17.5527800962263,300982,No,19.472388775528096,2006-05-20,0,0,0.040736578400239365,0.02800048169070633,0.04004611950159609,0.028502119205736337,0.05890938979751049,0.013242188886897694,0.0
15.0,17.0,24.0,26.0,35.0,38.0,7.692874383529504e-10,20.985556434268556,260,8.810993145412976e-09,18.547265674020018,8.857709750566892e-08,16.2393925059145,484021,Yes,22.141539766992892,2006-05-17,1,9,0.04449854691281522,0.04557412192738386,0.041402698341085,0.02610241078715517,0.026506687423204698,0.013242188886897694,-0.5512642945887872
19.0,28.0,30.0,47.0,54.0,13.0,2.944583947433963e-10,21.945883397033022,261,3.954904770860321e-08,17.0457242211869,3.1599410481398055e-08,17.270127372179523,550452,No,20.714433115845175,2006-05-13,0,0,0.02272587100944652,0.02434680691565911,0.03978823906656737,0.019701346415838625,0.023165819196422955,0.029306442494868957,0.0
3.0,4.0,11.0,37.0,44.0,24.0,6.506122582347003e-10,21.15310726063627,262,2.2414878212353046e-08,17.613540892663917,9.76953281312525e-08,16.141412097554298,415913,No,21.292390477721735,2006-05-10,0,0,0.04639989124151627,0.013797458783233702,0.01102420582793222,0.0440377621566424,0.059328570157496555,0.03528334385320754,0.0
12.0,23.0,25.0,32.0,38.0,27.0,5.403744161764772e-09,19.03617376035168,263,2.1668435830441443e-08,17.647409205339684,4.473590783114592e-08,16.922489350620943,424400,No,21.27805250023846,2006-05-06,0,0,0.059353603650788386,0.03899783802641332,0.042319498466848585,0.04168513174586848,0.04125875578758214,0.03207519742780563,0.0
4.0,6.0,19.0,38.0,42.0,37.0,1.1145428135584231e-09,20.614821548803747,264,5.826127074207047e-08,16.658328274082955,3.8963532627127094e-08,17.060639689101762,360738,No,20.370494949577935,2006-05-03,0,0,0.05177488215685684,0.019006973858822447,0.03126973455135444,0.04292530164894223,0.05678684677114263,0.014858650074345068,0.0
19.0,30.0,35.0,40.0,41.0,14.0,7.737548172005699e-10,20.979766066164864,265,1.029817119400909e-08,18.391299511455095,8.998308318036208e-08,16.22364414894636,382070,No,21.994295418049173,2006-04-29,0,0,0.02272587100944652,0.018487529202427175,0.028122918451860164,0.03931958141109403,0.05396998144939077,0.03085904014503339,0.0
12.0,24.0,26.0,48.0,55.0,14.0,9.185971641326145e-10,20.808173431204025,266,1.0949117342257139e-07,16.027421898951904,2.154505260095322e-08,17.65311962443563,330152,No,19.743844286441117,2006-04-26,0,0,0.059353603650788386,0.036383044365062026,0.04276574445442939,0.016999978035516228,0.0189606037374947,0.03085904014503339,0.0
4.0,5.0,6.0,18.0,27.0,24.0,2.9032844744396436e-12,26.56517844242506,267,1.701055591988911e-10,22.4946019351155,9.185773074661963e-07,13.90043976874958,354219,No,25.855606602462007,2006-04-22,0,0,0.05177488215685684,0.016294858502441553,0.003965342120998093,0.007065997920167066,0.003480935478159454,0.03528334385320754,0.0
5.0,28.0,32.0,34.0,53.0,10.0,1.4589000514419882e-09,20.345583074589896,268,1.302735063178178e-07,15.853629701825632,1.761059453367146e-08,17.854765153868414,294959,No,19.541310705744824,2006-04-19,0,0,0.05659668806715906,0.02434680691565911,0.03583818531121881,0.044197682939665674,0.02776205106582944,0.02407661613364039,0.0
